10/12/2024 00:46:24	Dal.ImplementationClient.Create: 	תת נוצר בהצלחה!
10/12/2024 18:02:32	Dal.ImplementationClient.Create: 	SARI נוצר בהצלחה!
10/12/2024 18:03:45	Dal.ImplementationClient.ReadAll: 	in func readAll
10/12/2024 18:04:56	Dal.ImplementationClient.Create: 	hadasa נוצר בהצלחה!
10/12/2024 18:04:56	Dal.ImplementationClient.Create: 	sari נוצר בהצלחה!
10/12/2024 18:04:56	Dal.ImplementationClient.Create: 	aaa נוצר בהצלחה!
10/12/2024 18:05:06	Dal.ImplementationClient.Create: 	5 נוצר בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationClient.Create: 	hadasa נוצר בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationClient.Create: 	sari נוצר בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationClient.Create: 	aaa נוצר בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationProduct.Create: 	pot נוצר בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationProduct.Create: 	shelf נוצר בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationSale.Create: 	1 התווסף בהצלחה!
10/12/2024 19:09:31	Dal.ImplementationSale.Create: 	2 התווסף בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationClient.Create: 	hadasa נוצר בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationClient.Create: 	sari נוצר בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationClient.Create: 	aaa נוצר בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationProduct.Create: 	pot נוצר בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationProduct.Create: 	shelf נוצר בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationSale.Create: 	1 התווסף בהצלחה!
10/12/2024 22:02:40	Dal.ImplementationSale.Create: 	2 התווסף בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationClient.Create: 	hadasa נוצר בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationClient.Create: 	sari נוצר בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationClient.Create: 	aaa נוצר בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationProduct.Create: 	pot נוצר בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationProduct.Create: 	shelf נוצר בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationSale.Create: 	1 התווסף בהצלחה!
10/12/2024 22:02:50	Dal.ImplementationSale.Create: 	2 התווסף בהצלחה!
10/12/2024 22:06:56	Dal.ImplementationClient.ReadAll: 	in func readAll
